SourceType,DataAnalysisChapter,DataAnalysisContext,DataAnalysisUse,MathFoundationsSupport,CurrentNotesPages,FutureMFLabels,FutureMFTarget,SourceFile,SourceLine
Source Map,7,Linear Regression as Projection: Design Matrix and Hat Matrix,Normal-equation bridge,"Least squares as minimizing $\|\mathbf{A}\mathbf{x}-\mathbf{b}\|^2$, the normal equations, and gradient-based reasoning","pp. 104--105, 120--122",mf:norms-euclidean; mf:gradient; mf:least-squares-objective; mf:least-squares-normal-equations; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:gradient`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch07_Linear_Regression_as_Projection_Design_Matrix_Hat_Matrix_v3.tex,668
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Data vectors and mean vectors,"Vector notation in \(\mathbb{R}^n\), coordinates, and the ones vector \(\mathbf{1}\)",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:ones-vector; mf:bases; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`, `mf:ones-vector`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,657
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Mean and residual decomposition,"Dot products, \(\mathbf{1}^T\mathbf{a}=\sum a_i\), and sample-mean notation",p. 16,mf:vectors-as-data; mf:ones-vector; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,659
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Orthogonal complements,"Euclidean norms, distances, angles, and the condition \(\mathbf{a}^T\mathbf{b}=0\) for orthogonality",pp. 17--18,mf:set-membership; mf:set-operations; mf:subsets; mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch04 Sets, Set Operations, and Quantifiers: `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,661
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Column space and fitted values,Matrix-vector multiplication as row inner products and as a linear combination of columns,p. 25,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:column-space; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,663
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability","Rank, basis, and full column rank intuition","Linear independence, bases, and unique linear-combination representations",pp. 20--21,mf:linear-independence; mf:bases; mf:rank; mf:full-column-rank; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,665
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Matrix dimensions and transpose notation,"Matrix sizes, tall/wide matrices, identity matrices, transposes, and symmetry",pp. 23--24,mf:matrices-dimensions; mf:transpose; mf:identity-matrix; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,667
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Left-inverse and identifiability bridge,"Left inverse, linearly independent columns, the trivial-solution criterion, and the equivalence between full column rank and invertibility of \(\mathbf{A}^T\mathbf{A}\)",pp. 59--62,mf:linear-independence; mf:matrix-inverse; mf:left-inverse; mf:rank; mf:full-column-rank; mf:ata-invertibility; mf:null-space; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`, `mf:ata-invertibility`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:null-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,669
Source Map,8,"Degrees of Freedom, Subspaces, and Identifiability",Computational check,"Python/NumPy matrix operations, matrix shapes, and transposes",pp. 37--38,mf:matrices-dimensions; mf:transpose; mf:computational-matrix-operations; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,671
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Response and predictor vectors,"Vector notation in \(\mathbb{R}^n\), coordinates, and vector entries",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:bases; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,574
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Column-space interpretation,"Linear combinations of vectors, span/column-space ideas, and standard-basis intuition","pp. 8--10, 67--68",mf:linear-combinations; mf:least-squares-projection-bridge; mf:span; mf:bases; mf:column-space; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:span`, `mf:bases`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,576
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Normal equations and orthogonality,"Dot products, sums through \(\mathbf{1}^T\mathbf{a}\), Euclidean norm, orthogonality, and the least-squares normal-equation bridge","pp. 16--18, 104--105",mf:ones-vector; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:least-squares-projection-bridge; mf:least-squares-objective; mf:least-squares-normal-equations; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,578
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Design matrix dimensions,"Matrix notation, tall matrices, transposes, identity matrices, and symmetry",pp. 23--24,mf:matrices-dimensions; mf:transpose; mf:identity-matrix; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,580
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Fitted values as \(\mathbf{X}\widehat{\boldsymbol{\beta}}\),Matrix-vector multiplication as row inner products and as a linear combination of columns,p. 25,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,582
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Full column rank requirement,"Linear independence, bases, unique linear-combination intuition, and full-rank conditions","pp. 20--21, 67--69",mf:linear-independence; mf:bases; mf:rank; mf:full-column-rank; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,584
Source Map,9,"Multiple Linear Regression in Practice: Predictors, Hyperplanes, and the Advertising Example",Software implementation,"Python/NumPy arrays, shapes, transposes, and matrix multiplication with \texttt{@}",pp. 37--38,mf:matrices-dimensions; mf:transpose; mf:computational-matrix-operations; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,586
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Observation-space vectors,"Vector notation in \(\mathbb{R}^n\), coordinates, and subvectors",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:bases; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,970
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Regression matrix expressions,"Matrix sizes, transposes, identity matrices, and matrix-vector multiplication",pp. 23--25,mf:matrices-dimensions; mf:transpose; mf:identity-matrix; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,972
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Residual orthogonality,"Dot products, Euclidean norms, and the condition \(\mathbf{a}^T\mathbf{b}=0\) for orthogonality",pp. 16--18,mf:vectors-as-data; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:least-squares-projection-bridge; mf:least-squares-residual-orthogonality; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-residual-orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,974
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Least-squares normal-equation bridge,"Stationary points, least-squares minimization, the normal equations, and the positive-semidefinite \(\mathbf{A}^T\mathbf{A}\) argument","pp. 104--105, 120--122",mf:norms-euclidean; mf:least-squares-projection-bridge; mf:ata-invertibility; mf:stationary-points; mf:least-squares-objective; mf:least-squares-normal-equations; mf:positive-semidefinite; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:ata-invertibility`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:stationary-points`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:positive-semidefinite`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,976
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Full-rank requirement for unique coefficients,"Left inverses, linearly independent columns, rank, and full column rank","pp. 59--60, 67--69, 122",mf:linear-independence; mf:matrix-inverse; mf:left-inverse; mf:rank; mf:full-column-rank; mf:null-space; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:null-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,978
Source Map,10,"Truth + Error, Estimator Behavior, and Residual Geometry",Computational matrix operations,"Python/NumPy arrays, shapes, transposes, and matrix multiplication",pp. 37--38,mf:matrices-dimensions; mf:transpose; mf:computational-matrix-operations; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,980
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Transformed columns as candidate directions,"Vector notation in \(\mathbb{R}^n\), scalar-vector multiplication, and linear combinations",pp. 6--10,mf:vectors-rn; mf:scalar-multiplication; mf:linear-combinations; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,755
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Basis and spanning viewpoint,"Bases, linear independence, and unique linear-combination representations",pp. 20--21,mf:linear-independence; mf:span; mf:bases; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:span`, `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,757
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Design-matrix mechanics,"Matrix notation, submatrices, transposes, and matrix-vector multiplication",pp. 23--25,mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,759
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Solving transformed systems,"QR decomposition, triangular systems, and solving linear systems",pp. 28--30,mf:linear-systems; mf:qr-factorization; mf:data-analysis-bridge-index,"Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:linear-systems`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:qr-factorization`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,761
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Vandermonde / polynomial design,Vandermonde matrices for polynomial systems and interpolation,p. 31,mf:vandermonde-matrices; mf:data-analysis-bridge-index,"Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:vandermonde-matrices`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,763
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Orthogonal polynomial intuition,Gram-Schmidt orthogonalization and orthonormal directions,pp. 34--36,mf:norms-euclidean; mf:orthogonality; mf:vandermonde-matrices; mf:orthogonal-bases; mf:gram-schmidt; mf:orthogonal-polynomials; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:orthogonality`; Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:vandermonde-matrices`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:orthogonal-bases`, `mf:gram-schmidt`, `mf:orthogonal-polynomials`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,765
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Full column rank requirement,"Left inverses, rank, and full-column-rank conditions","pp. 59--60, 67--69",mf:matrix-inverse; mf:left-inverse; mf:rank; mf:full-column-rank; mf:data-analysis-bridge-index,"Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,767
Source Map,11,Linear Models Beyond Straight Lines: Transformations and Linear-in-Parameters Models,Computational matrix operations,"Python/NumPy arrays, shapes, transposes, and matrix multiplication",pp. 37--38,mf:matrices-dimensions; mf:transpose; mf:computational-matrix-operations; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11_Linear_Models_Beyond_Straight_Lines_Transformations_Linear_in_Parameters_v3.tex,769
Source Map,12,Residual Analysis and Model Repair,Residual vectors in observation space,"Vector notation in \(\mathbb{R}^n\), coordinates, and subvectors",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:vector-arithmetic; mf:bases; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,661
Source Map,12,Residual Analysis and Model Repair,Orthogonality condition \(\mathbf{X}^T\mathbf{e}=\mathbf{0}\),"Dot products, Euclidean norms, and the zero-dot-product condition for orthogonality",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,663
Source Map,12,Residual Analysis and Model Repair,Hat-matrix computations as linear transformations,"Matrix notation, identity matrices, transposes, and matrix-vector multiplication",pp. 23--25,mf:least-squares-projection-bridge; mf:matrices-dimensions; mf:transpose; mf:identity-matrix; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,665
Source Map,12,Residual Analysis and Model Repair,Column-space / residual-space viewpoint,"Column rank, column space, and full-rank conditions",pp. 67--69,mf:vectors-as-data; mf:orthogonality; mf:rank; mf:full-column-rank; mf:column-space; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:orthogonality`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,667
Source Map,12,Residual Analysis and Model Repair,Least-squares repair criterion,"Stationary points, least-squares minimization, the normal equations, and the positive-semidefinite \(\mathbf{A}^T\mathbf{A}\) argument","pp. 104--105, 120--122",mf:norms-euclidean; mf:ata-invertibility; mf:stationary-points; mf:least-squares-objective; mf:least-squares-normal-equations; mf:positive-semidefinite; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:ata-invertibility`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:stationary-points`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:positive-semidefinite`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,669
Source Map,12,Residual Analysis and Model Repair,Identifiability after repair,"Left inverses, linearly independent columns, rank, and full column rank","pp. 59--60, 67--69, 122",mf:linear-independence; mf:matrix-inverse; mf:left-inverse; mf:rank; mf:full-column-rank; mf:null-space; mf:data-analysis-bridge-index,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:null-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,671
Source Map,12,Residual Analysis and Model Repair,Computational matrix operations,"Python/NumPy arrays, shapes, transposes, and matrix multiplication",pp. 37--38,mf:matrices-dimensions; mf:transpose; mf:computational-matrix-operations; mf:data-analysis-bridge-index,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12_Residual_Analysis_Model_Repair_v3.tex,673
Integrated Callout,1,What Is Data?,What Is Data?,"Math Foundations treats a vector as an ordered collection of quantities that belong to the same object, not merely as an arrow in physical space. That is exactly how we use $\mathbf{x}$ here. The vector $\mathbf{x}$ is one observation's collection of input measurements. Its entries may be physical quantities, demographic attributes, encoded categories, time summaries, or engineered features. The geometric interpretation of vectors will become useful later, but the first interpretation is simpler: a feature vector is a structured record of measured information. See MathFoundationsNotes.pdf, pp. 6--7 for $\mathbb{R}^n$ vector notation, entries, subvectors, and vectors as collections of quantities.",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,26
Integrated Callout,1,A First Statistical Model,A First Statistical Model,"When the model is linear in the input variables, the systematic part can be written compactly as \[ f(\mathbf{x}) = \beta_0 + \beta_1 x_1 + \cdots + \beta_p x_p = \beta_0 + \boldsymbol{\beta}^T \mathbf{x}, \] where $\boldsymbol{\beta} = (\beta_1,\ldots,\beta_p)^T$. The term $\boldsymbol{\beta}^T\mathbf{x}$ is an inner product. Equivalently, it is a linear combination of the entries of $\mathbf{x}$, with coefficients $\beta_1,\ldots,\beta_p$. This is why linear algebra becomes the natural language of regression: the model combines measured inputs by weighting them and adding them together. See MathFoundationsNotes.pdf, pp. 9--10 for linear combinations and p. 16 for the dot product/inner product definition.",pp. 9--10; p. 16,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,62
