OldNotesPages,FutureMFLabels,ProposedChapterTargets,DataAnalysisUses
pp. 59--62,mf:ata-invertibility; mf:data-analysis-bridge-index; mf:full-column-rank; mf:left-inverse; mf:linear-independence; mf:matrix-inverse; mf:null-space; mf:rank,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`, `mf:ata-invertibility`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:null-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch8: Left-inverse and identifiability bridge
"pp. 6, 23",mf:data-analysis-bridge-index; mf:matrices-dimensions; mf:submatrix-extraction; mf:vector-entries-subvectors,"Ch02 Vectors in R^n: `mf:vector-entries-subvectors`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:submatrix-extraction`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch3: Filtering rows and selecting columns
pp. 6--10,mf:data-analysis-bridge-index; mf:linear-combinations; mf:scalar-multiplication; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: Transformed columns as candidate directions
pp. 6--10 and pp. 16--25,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean; mf:ones-vector; mf:orthogonality; mf:transpose; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch7: The Big Picture
"pp. 6--10, pp. 20--25, pp. 28--31; pp. 34--36",mf:bases; mf:data-analysis-bridge-index; mf:gram-schmidt; mf:least-squares-objective; mf:linear-combinations; mf:linear-independence; mf:linear-systems; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:orthogonality; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:orthogonality`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:linear-systems`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:gram-schmidt`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: The Big Picture
pp. 6--7,mf:bases; mf:data-analysis-bridge-index; mf:ones-vector; mf:vector-arithmetic; mf:vector-entries-subvectors; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`, `mf:ones-vector`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`, `mf:ones-vector`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Observation-space vectors || Ch12: Residual vectors in observation space || Ch1: Feature vectors for observations || Ch1: What Is Data? || Ch3: Data rows and variables as structured vectors || Ch4: A numeric variable as a data vector || Ch5: Data columns as vectors || Ch6: Mean-only fitted vector || Ch7: Response vectors and predictor vectors || Ch8: Data vectors and mean vectors || Ch9: Response and predictor vectors
pp. 6--7 and pp. 16--18,mf:angles; mf:centered-vectors; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-arithmetic; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:angles`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch4: A Numeric Variable as a Vector
"pp. 6--7, pp. 16--18, pp. 20--25; pp. 59--62",mf:bases; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:left-inverse; mf:linear-independence; mf:matrices-dimensions; mf:matrix-inverse; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:ones-vector; mf:orthogonality; mf:transpose; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:orthogonality`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch8: The Big Picture
"pp. 6--7, pp. 16--18, pp. 23--25, pp. 67--69; pp. 37--38",mf:column-space; mf:data-analysis-bridge-index; mf:dot-product; mf:full-column-rank; mf:inner-product-weighted-sums; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:orthogonality; mf:rank; mf:transpose; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch9: The Big Picture
pp. 6--7; pp. 16--17,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:ones-vector; mf:vector-arithmetic; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch6: Review: The Mean-Only Baseline Model
pp. 6--7; pp. 16--18,mf:angles; mf:centered-vectors; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-objective; mf:norms-euclidean; mf:ones-vector; mf:orthogonality; mf:vector-arithmetic; mf:vector-distance; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch4: A Numeric Variable as a Vector || Ch5: Data Notation
pp. 6--7; pp. 16--18; pp. 23--25; pp. 59--60 and pp. 67--69; pp. 104--105 plus pp. 120--122,mf:data-analysis-bridge-index; mf:dot-product; mf:full-column-rank; mf:hessian; mf:identity-matrix; mf:inner-product-weighted-sums; mf:least-squares-normal-equations; mf:least-squares-objective; mf:left-inverse; mf:matrices-dimensions; mf:matrix-inverse; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean; mf:orthogonality; mf:rank; mf:transpose; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:hessian`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: The Big Picture
pp. 6--7; pp. 23--24,mf:data-analysis-bridge-index; mf:least-squares-projection-bridge; mf:matrices-dimensions; mf:vector-entries-subvectors; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`","Ch3: Data Tables, Observations, and Variables"
pp. 6--8,mf:data-analysis-bridge-index; mf:vector-arithmetic; mf:vector-entries-subvectors; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`","Ch2: Response, prediction, and residual vectors"
pp. 67--69,mf:column-space; mf:data-analysis-bridge-index; mf:full-column-rank; mf:orthogonality; mf:rank; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:orthogonality`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12: Column-space / residual-space viewpoint
pp. 8--10,mf:centered-vectors; mf:data-analysis-bridge-index; mf:linear-combinations; mf:scalar-multiplication; mf:vector-arithmetic,"Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`, `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch5: Centered vectors and sums
"pp. 8--10, 17--18",mf:centered-vectors; mf:data-analysis-bridge-index; mf:norms-euclidean; mf:scalar-multiplication; mf:vector-arithmetic; mf:vector-distance,"Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`, `mf:scalar-multiplication`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch4: Centered-vector view of spread
"pp. 8--10, 67--68",mf:bases; mf:column-space; mf:data-analysis-bridge-index; mf:least-squares-projection-bridge; mf:linear-combinations; mf:span,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:span`, `mf:bases`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch9: Column-space interpretation
pp. 9--10,mf:data-analysis-bridge-index; mf:linear-combinations; mf:matrix-vector-column-view; mf:scalar-multiplication,"Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: Linear models as weighted inputs || Ch7: Fitted values as linear combinations
"pp. 9--10, 16",mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch2: Linear models as finite-parameter estimators
pp. 9--10; p. 16,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:scalar-multiplication; mf:vector-entries-subvectors; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: A First Statistical Model || Ch2: Parametric Methods
